name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,distance
Shonai Airport,JP,YT,47551,RJSY,38.8167,139.7833,22.0,Asia/Tokyo,1992-05-08,2025-04-23,2020-02-05,2022-03-06,,,10562920.062760713
Wau,SD,WB,62880,HSWW,7.7,28.0167,438.0,Africa/Khartoum,1949-03-01,2024-11-10,1961-01-01,2015-07-23,1949-01-01,2011-01-01,10564247.17820512
Kasuminome Ab,JP,MG,47567,RJSU,38.2333,140.9167,7.0,Asia/Tokyo,1973-01-03,2025-04-14,1976-12-10,2008-06-15,,,10576859.562054897
Sennar,SD,SI,62762,HSNR,13.55,33.6167,418.0,Africa/Khartoum,1979-01-02,2023-09-11,1961-01-01,2019-04-14,1961-01-01,2021-01-01,10578932.896193998
Yamagata Airport,JP,YT,47553,RJSC,38.4167,140.3667,105.0,Asia/Tokyo,1973-01-01,2025-04-23,1976-12-11,2022-03-06,,,10580259.42088935
Sendai Airport,JP,MG,47569,RJSS,38.1333,140.9167,1.0,Asia/Tokyo,1973-01-01,2025-04-23,2011-03-26,2022-04-14,,,10586770.571177835
Shiraz,IR,FAR,40848,OISS,29.5333,52.5833,1486.0,Asia/Tehran,1957-07-01,2025-04-23,1951-01-01,2025-04-10,1951-01-01,2022-01-01,10593608.615062112
Termez,UZ,SU,38927,UTST,37.2333,67.2667,302.0,Asia/Samarkand,1948-01-01,2025-04-23,1936-01-01,2025-04-11,1936-01-01,2022-01-01,10615585.538860643
Jubail / Al Fa?l,SA,SH,,OEJB,27.05,49.4,8.0,Asia/Riyadh,2000-09-06,2024-03-18,2016-11-28,2022-04-24,,,10616158.799256574
King Khaled International Airport,SA,RD,40437,OERK,24.9333,46.7167,614.0,Asia/Riyadh,1983-12-22,2025-04-23,1983-12-23,2025-04-11,1983-01-01,2022-01-01,10623412.088075837
Riyadh,SA,RD,40438,OERY,24.7167,46.7333,635.0,Asia/Riyadh,1958-03-05,2022-02-28,1958-03-05,2023-12-30,1951-01-01,2021-01-01,10642727.531474257
Kassala,SD,KA,62730,HSKA,15.4667,36.4,500.0,Africa/Khartoum,1949-01-30,2019-05-08,1957-07-01,2019-04-14,1949-01-01,2021-01-01,10648190.341818647
Qala-I-Now,AF,BDG,40937,OAQN,35.0,63.1167,0.0,Asia/Kabul,1973-02-03,2022-02-07,2011-03-26,2013-09-23,,,10648669.96389727
Renk,SD,ANL,62801,HSRN,11.75,32.7833,282.0,Africa/Khartoum,1979-11-01,2020-04-08,1980-01-19,2011-05-08,1999-01-01,2011-01-01,10649461.785642061
